codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
rs,8+2,4194304,5,2103,1900,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,4194304,5,2503,1994,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,4194304,5,2558,4404,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,16777216,1,5562,5385,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,16777216,1,6150,5903,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,1,9563,8879,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,16777216,1,12093,8713,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,16777216,1,12206,13454,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
rs,8+2,16777216,1,8303,7395,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,16777216,1,10268,7887,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,16777216,1,10748,17891,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,16777216,2,4550,5319,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,16777216,2,6186,5878,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,2,9631,8908,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,16777216,2,11977,8853,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,16777216,2,12267,14311,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
rs,8+2,16777216,2,8309,7475,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,16777216,2,10028,7573,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,16777216,2,10452,17649,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,16777216,3,5558,5473,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,16777216,3,6266,6002,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,3,9720,8983,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,16777216,3,12261,8959,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
