codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
stripe,10+0,65536,1,60,69,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,1,67,46,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,65536,1,60,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,65536,1,69,18779,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,65536,1,74,71,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,65536,1,76,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,65536,1,86,74233,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,65536,2,43,57,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,65536,2,67,72,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,2,68,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,65536,2,66,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,65536,2,65,17862,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,65536,2,73,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,65536,2,75,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,65536,2,85,75630,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,65536,3,40,51,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,65536,3,72,70,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,3,67,43,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,65536,3,66,60,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,65536,3,85,17749,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,65536,3,72,65,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,65536,3,77,66,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,65536,3,97,75125,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,65536,4,40,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,65536,4,71,72,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,4,66,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,65536,4,66,45,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,65536,4,67,17951,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,65536,4,70,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,65536,4,85,71,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,65536,4,97,76986,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,65536,5,46,49,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,65536,5,71,70,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,5,67,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,65536,5,63,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,65536,5,75,18224,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,65536,5,72,51,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,65536,5,78,66,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,65536,5,106,75157,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,262144,1,113,113,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,262144,1,144,146,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,1,66,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,262144,1,70,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,262144,1,72,17885,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,262144,1,74,68,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,262144,1,87,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,262144,1,102,75993,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,262144,2,108,115,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,262144,2,133,134,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,2,66,45,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,262144,2,64,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,262144,2,66,17763,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,262144,2,76,68,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,262144,2,89,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,262144,2,109,75069,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,262144,3,118,118,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,262144,3,145,142,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,3,68,45,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,262144,3,58,49,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,262144,3,64,17991,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,262144,3,71,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,262144,3,88,86,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,262144,3,103,74429,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,262144,4,105,119,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,262144,4,134,135,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,4,67,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,262144,4,65,76,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,262144,4,62,17920,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,262144,4,73,65,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,262144,4,88,74,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,262144,4,96,77695,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,262144,5,109,119,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,262144,5,146,142,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,5,68,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,262144,5,64,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,262144,5,61,18692,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,262144,5,75,68,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,262144,5,87,76,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,262144,5,99,74750,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,1048576,1,348,376,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,1048576,1,417,409,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,1,74,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,1048576,1,68,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,1048576,1,91,17836,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,1048576,1,75,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,1048576,1,87,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,1048576,1,102,72076,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,1048576,2,355,373,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,1048576,2,419,411,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,2,70,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,1048576,2,64,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,1048576,2,74,17755,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,1048576,2,75,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,1048576,2,82,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,1048576,2,121,76091,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,1048576,3,366,272,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,1048576,3,303,294,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,3,62,45,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,1048576,3,52,47,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,1048576,3,59,17952,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,1048576,3,81,65,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,1048576,3,85,76,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,1048576,3,105,73989,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,1048576,4,335,368,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,1048576,4,419,417,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,4,68,50,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,1048576,4,68,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,1048576,4,68,18094,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,1048576,4,78,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,1048576,4,86,81,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,1048576,4,105,78174,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,1048576,5,364,357,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,1048576,5,409,424,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,5,63,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,1048576,5,62,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,1048576,5,78,18454,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,1048576,5,75,64,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,1048576,5,81,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,1048576,5,109,77315,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,4194304,1,1357,1394,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,4194304,1,1511,1486,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,1,147,96,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,4194304,1,147,119,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,4194304,1,176,72832,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,4194304,1,126,84,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,4194304,1,112,110,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,4194304,1,164,147866,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,4194304,2,1344,1350,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,4194304,2,1540,1524,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,2,155,103,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,4194304,2,130,100,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,4194304,2,156,73125,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,4194304,2,129,93,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,4194304,2,142,110,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,4194304,2,161,150155,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,4194304,3,1341,1335,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,4194304,3,1521,1516,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,3,148,113,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,4194304,3,128,114,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,4194304,3,155,72748,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,4194304,3,127,94,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,4194304,3,120,110,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,4194304,3,157,147240,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,4194304,4,1342,1338,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,4194304,4,1541,1521,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,4,142,88,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,4194304,4,150,116,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,4194304,4,163,72645,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,4194304,4,130,90,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,4194304,4,138,123,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,4194304,4,167,147745,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,4194304,5,1348,1342,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,4194304,5,1542,1482,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,5,145,102,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,4194304,5,149,122,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,4194304,5,176,71325,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,4194304,5,128,108,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,4194304,5,119,111,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,4194304,5,176,152388,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,16777216,1,5337,5278,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,16777216,1,5937,5860,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,1,439,281,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,16777216,1,426,330,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,16777216,1,521,294547,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,16777216,1,420,248,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,16777216,1,395,295,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,16777216,1,518,602808,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,16777216,2,5249,5264,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,16777216,2,5956,5786,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,2,450,283,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,16777216,2,461,352,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,16777216,2,536,293690,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,16777216,2,408,243,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,16777216,2,399,299,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,16777216,2,549,612661,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,16777216,3,5324,5233,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,16777216,3,5919,5881,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,3,461,288,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,16777216,3,449,322,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,4+2,16777216,3,548,289168,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
rs,8+2,16777216,3,423,243,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,8+2,16777216,3,397,304,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-nonsys,8+2,16777216,3,550,590505,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
plain,1+0,16777216,4,5295,5281,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
stripe,10+0,16777216,4,5908,5788,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,4,448,283,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
mojette-sys,4+2,16777216,4,432,323,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,262144,simd
